city,year,weekofyear,total_cases
sj,2008,25,38
sj,2008,26,49
sj,2008,27,42
sj,2008,28,49
sj,2008,29,55
sj,2008,30,80
sj,2008,31,84
sj,2008,32,72
sj,2008,33,89
sj,2008,34,115
sj,2008,35,179
sj,2008,36,202
sj,2008,37,272
sj,2008,38,302
sj,2008,39,395
sj,2008,40,426
sj,2008,41,461
sj,2008,42,381
sj,2008,43,333
sj,2008,44,353
sj,2008,45,410
sj,2008,46,364
sj,2008,47,359
sj,2008,48,288
sj,2008,49,221
sj,2008,50,149
sj,2008,51,112
sj,2009,52,154
sj,2009,1,91
sj,2009,2,72
sj,2009,3,56
sj,2009,4,46
sj,2009,5,37
sj,2009,6,26
sj,2009,7,17
sj,2009,8,17
sj,2009,9,20
sj,2009,10,11
sj,2009,11,7
sj,2009,12,16
sj,2009,13,14
sj,2009,14,16
sj,2009,15,5
sj,2009,16,2
sj,2009,17,6
sj,2009,18,5
sj,2009,19,4
sj,2009,20,3
sj,2009,21,4
sj,2009,22,16
sj,2009,23,8
sj,2009,24,7
sj,2009,25,10
sj,2009,26,14
sj,2009,27,7
sj,2009,28,9
sj,2009,29,11
sj,2009,30,23
sj,2009,31,17
sj,2009,32,19
sj,2009,33,24
sj,2009,34,17
sj,2009,35,28
sj,2009,36,40
sj,2009,37,33
sj,2009,38,31
sj,2009,39,33
sj,2009,40,29
sj,2009,41,30
sj,2009,42,36
sj,2009,43,48
sj,2009,44,40
sj,2009,45,28
sj,2009,46,36
sj,2009,47,19
sj,2009,48,34
sj,2009,49,23
sj,2009,50,17
sj,2009,51,17
sj,2010,1,23
sj,2010,2,14
sj,2010,3,20
sj,2010,4,13
sj,2010,5,23
sj,2010,6,20
sj,2010,7,16
sj,2010,8,16
sj,2010,9,23
sj,2010,10,14
sj,2010,11,15
sj,2010,12,4
sj,2010,13,5
sj,2010,14,5
sj,2010,15,11
sj,2010,16,11
sj,2010,17,7
sj,2010,18,4
sj,2010,19,6
sj,2010,20,5
sj,2010,21,2
sj,2010,22,4
sj,2010,23,2
sj,2010,24,4
sj,2010,25,6
sj,2010,26,6
sj,2010,27,4
sj,2010,28,6
sj,2010,29,11
sj,2010,30,16
sj,2010,31,9
sj,2010,32,12
sj,2010,33,13
sj,2010,34,27
sj,2010,35,21
sj,2010,36,19
sj,2010,37,17
sj,2010,38,24
sj,2010,39,27
sj,2010,40,30
sj,2010,41,29
sj,2010,42,25
sj,2010,43,35
sj,2010,44,33
sj,2010,45,30
sj,2010,46,29
sj,2010,47,31
sj,2010,48,29
sj,2010,49,22
sj,2010,50,27
sj,2010,51,24
sj,2010,52,26
sj,2011,1,29
sj,2011,2,22
sj,2011,3,33
sj,2011,4,24
sj,2011,5,30
sj,2011,6,20
sj,2011,7,17
sj,2011,8,24
sj,2011,9,28
sj,2011,10,18
sj,2011,11,13
sj,2011,12,9
sj,2011,13,14
sj,2011,14,11
sj,2011,15,11
sj,2011,16,19
sj,2011,17,10
sj,2011,18,8
sj,2011,19,8
sj,2011,20,9
sj,2011,21,3
sj,2011,22,7
sj,2011,23,14
sj,2011,24,4
sj,2011,25,9
sj,2011,26,14
sj,2011,27,7
sj,2011,28,9
sj,2011,29,3
sj,2011,30,3
sj,2011,31,14
sj,2011,32,12
sj,2011,33,10
sj,2011,34,21
sj,2011,35,26
sj,2011,36,47
sj,2011,37,42
sj,2011,38,31
sj,2011,39,34
sj,2011,40,33
sj,2011,41,52
sj,2011,42,56
sj,2011,43,70
sj,2011,44,112
sj,2011,45,70
sj,2011,46,47
sj,2011,47,48
sj,2011,48,49
sj,2011,49,66
sj,2011,50,56
sj,2011,51,61
sj,2011,52,67
sj,2012,1,64
sj,2012,2,68
sj,2012,3,49
sj,2012,4,50
sj,2012,5,56
sj,2012,6,75
sj,2012,7,63
sj,2012,8,62
sj,2012,9,41
sj,2012,10,50
sj,2012,11,34
sj,2012,12,31
sj,2012,13,38
sj,2012,14,30
sj,2012,15,32
sj,2012,16,26
sj,2012,17,30
sj,2012,18,36
sj,2012,19,35
sj,2012,20,46
sj,2012,21,48
sj,2012,22,44
sj,2012,23,51
sj,2012,24,59
sj,2012,25,71
sj,2012,26,102
sj,2012,27,128
sj,2012,28,127
sj,2012,29,150
sj,2012,30,191
sj,2012,31,256
sj,2012,32,329
sj,2012,33,263
sj,2012,34,220
sj,2012,35,204
sj,2012,36,181
sj,2012,37,99
sj,2012,38,54
sj,2012,39,80
sj,2012,40,102
sj,2012,41,127
sj,2012,42,73
sj,2012,43,68
sj,2012,44,64
sj,2012,45,55
sj,2012,46,67
sj,2012,47,84
sj,2012,48,85
sj,2012,49,67
sj,2012,50,73
sj,2012,51,89
sj,2012,52,68
sj,2013,53,59
sj,2013,1,56
sj,2013,2,77
sj,2013,3,75
sj,2013,4,47
sj,2013,5,50
sj,2013,6,42
sj,2013,7,28
sj,2013,8,37
sj,2013,9,37
sj,2013,10,27
sj,2013,11,12
sj,2013,12,15
sj,2013,13,22
sj,2013,14,8
sj,2013,15,15
sj,2013,16,17
sj,2013,17,10
sj,2013,18,9
sj,2013,19,11
sj,2013,20,20
sj,2013,21,13
sj,2013,22,11
sj,2013,23,16
sj,2013,24,11
sj,2013,25,7
sj,2013,26,17
sj,2013,27,14
sj,2013,28,13
sj,2013,29,15
sj,2013,30,30
sj,2013,31,25
sj,2013,32,40
sj,2013,33,44
sj,2013,34,25
sj,2013,35,21
sj,2013,36,48
sj,2013,37,56
sj,2013,38,60
sj,2013,39,45
sj,2013,40,55
sj,2013,41,32
sj,2013,42,46
sj,2013,43,61
sj,2013,44,42
sj,2013,45,37
sj,2013,46,43
sj,2013,47,34
sj,2013,48,40
sj,2013,49,25
sj,2013,50,16
sj,2013,51,17
sj,2014,52,17
sj,2014,1,16
sj,2014,2,23
sj,2014,3,18
sj,2014,4,18
sj,2014,5,9
sj,2014,6,7
sj,2014,7,7
sj,2014,8,4
sj,2014,9,3
sj,2014,10,2
sj,2014,11,8
sj,2014,12,3
sj,2014,13,1
sj,2014,14,1
sj,2014,15,2
sj,2014,16,3
sj,2014,17,3
sj,2014,18,2
sj,2014,19,0
sj,2014,20,0
sj,2014,21,2
sj,2014,22,2
sj,2014,23,0
sj,2014,24,6
sj,2014,25,3
sj,2014,26,6
sj,2014,27,2
sj,2014,28,3
sj,2014,29,2
sj,2014,30,4
sj,2014,31,5
sj,2014,32,2
sj,2014,33,9
sj,2014,34,2
sj,2014,35,4
sj,2014,36,8
sj,2014,37,6
sj,2014,38,3
sj,2014,39,11
sj,2014,40,14
sj,2014,41,15
sj,2014,42,20
sj,2014,43,9
sj,2014,44,20
sj,2014,45,28
sj,2014,46,38
sj,2014,47,30
sj,2014,48,30
sj,2014,49,23
sj,2014,50,16
sj,2014,51,22
sj,2015,1,28
sj,2015,2,14
sj,2015,3,17
sj,2015,4,20
sj,2015,5,17
sj,2015,6,10
sj,2015,7,13
sj,2015,8,20
sj,2015,9,9
sj,2015,10,18
sj,2015,11,9
sj,2015,12,8
sj,2015,13,19
sj,2015,14,11
sj,2015,15,4
sj,2015,16,6
sj,2015,17,6
sj,2015,18,8
sj,2015,19,13
sj,2015,20,8
sj,2015,21,8
sj,2015,22,5
sj,2015,23,16
sj,2015,24,12
sj,2015,25,11
sj,2015,26,18
sj,2015,27,10
sj,2015,28,22
sj,2015,29,14
sj,2015,30,16
sj,2015,31,18
sj,2015,32,27
sj,2015,33,38
sj,2015,34,35
sj,2015,35,41
sj,2015,36,51
sj,2015,37,65
sj,2015,38,55
sj,2015,39,54
sj,2015,40,62
sj,2015,41,64
sj,2015,42,56
sj,2015,43,65
sj,2015,44,71
sj,2015,45,75
sj,2015,46,71
sj,2015,47,72
sj,2015,48,47
sj,2015,49,27
sj,2015,50,35
sj,2015,51,25
sj,2015,52,19
sj,2016,1,37
sj,2016,2,38
sj,2016,3,34
sj,2016,4,26
sj,2016,5,19
sj,2016,6,18
sj,2016,7,22
sj,2016,8,16
sj,2016,9,18
sj,2016,10,6
sj,2016,11,12
sj,2016,12,6
sj,2016,13,6
sj,2016,14,3
sj,2016,15,7
sj,2016,16,6
sj,2016,17,1
sj,2016,18,3
sj,2016,19,2
sj,2016,20,2
sj,2016,21,1
sj,2016,22,10
sj,2016,23,3
sj,2016,24,3
sj,2016,25,1
sj,2016,26,1
sj,2016,27,2
sj,2016,28,6
sj,2016,29,3
sj,2016,30,3
sj,2016,31,5
sj,2016,32,4
sj,2016,33,7
sj,2016,34,6
sj,2016,35,5
sj,2016,36,7
sj,2016,37,6
sj,2016,38,4
sj,2016,39,4
sj,2016,40,7
sj,2016,41,9
sj,2016,42,5
sj,2016,43,5
sj,2016,44,10
sj,2016,45,6
sj,2016,46,13
sj,2016,47,6
sj,2016,48,5
sj,2016,49,5
sj,2016,50,9
sj,2016,51,3
sj,2016,52,6
sj,2017,1,11
sj,2017,2,7
sj,2017,3,7
sj,2017,4,15
sj,2017,5,9
sj,2017,6,6
sj,2017,7,6
sj,2017,8,6
sj,2017,9,7
sj,2017,10,10
sj,2017,11,8
sj,2017,12,7
sj,2017,13,12
sj,2017,14,3
sj,2017,15,2
sj,2017,16,7
sj,2017,17,5
sj,2017,18,5
sj,2017,19,7
sj,2017,20,7
sj,2017,21,7
sj,2017,22,7
sj,2017,23,10
sj,2017,24,13
sj,2017,25,10
sj,2017,26,14
sj,2017,27,11
sj,2017,28,20
sj,2017,29,25
sj,2017,30,17
sj,2017,31,18
sj,2017,32,25
sj,2017,33,21
sj,2017,34,31
sj,2017,35,32
sj,2017,36,26
sj,2017,37,35
sj,2017,38,28
sj,2017,39,37
sj,2017,40,41
sj,2017,41,34
sj,2017,42,30
sj,2017,43,39
sj,2017,44,39
sj,2017,45,39
sj,2017,46,34
sj,2017,47,30
sj,2017,48,37
sj,2017,49,29
sj,2017,50,26
sj,2017,51,15
sj,2017,52,22
sj,2018,1,15
sj,2018,2,20
sj,2018,3,14
sj,2018,4,10
sj,2018,5,21
sj,2018,6,14
sj,2018,7,14
sj,2018,8,9
sj,2018,9,11
sj,2018,10,5
sj,2018,11,6
sj,2018,12,7
sj,2018,13,11
sj,2018,14,4
sj,2018,15,3
sj,2018,16,2
sj,2018,17,6
sj,2018,18,10
sj,2018,19,7
sj,2018,20,5
sj,2018,21,3
sj,2018,22,12
sj,2018,23,13
sj,2018,24,10
sj,2018,25,13
sj,2018,26,13
sj,2018,27,8
sj,2018,28,21
sj,2018,29,18
sj,2018,30,8
sj,2018,31,7
sj,2018,32,20
sj,2018,33,14
sj,2018,34,14
sj,2018,35,7
sj,2018,36,14
sj,2018,37,10
sj,2018,38,13
sj,2018,39,27
sj,2018,40,13
sj,2018,41,18
sj,2018,42,16
sj,2018,43,16
sj,2018,44,20
sj,2018,45,17
sj,2018,46,4
sj,2018,47,15
sj,2018,48,8
sj,2018,49,6
sj,2018,50,12
sj,2018,51,15
sj,2018,52,11
sj,2019,53,10
sj,2019,1,15
sj,2019,2,17
sj,2019,3,7
sj,2019,4,7
sj,2019,5,8
sj,2019,6,9
sj,2019,7,12
sj,2019,8,12
sj,2019,9,5
sj,2019,10,4
sj,2019,11,11
sj,2019,12,4
sj,2019,13,5
sj,2019,14,7
sj,2019,15,1
sj,2019,16,1
sj,2019,17,4
sj,2019,18,2
sj,2019,19,6
sj,2019,20,3
sj,2019,21,4
sj,2019,22,10
sj,2019,23,12
sj,2019,24,21
sj,2019,25,26
sj,2019,26,21
sj,2019,27,30
sj,2019,28,45
sj,2019,29,56
sj,2019,30,75
sj,2019,31,83
sj,2019,32,82
sj,2019,33,126
sj,2019,34,119
sj,2019,35,137
sj,2019,36,131
sj,2019,37,112
sj,2019,38,82
sj,2019,39,73
sj,2019,40,43
sj,2019,41,55
sj,2019,42,55
sj,2019,43,53
sj,2019,44,46
sj,2019,45,43
sj,2019,46,29
sj,2019,47,22
sj,2019,48,26
sj,2019,49,13
sj,2019,50,17
sj,2019,51,8
sj,2020,52,13
sj,2020,1,10
sj,2020,2,17
sj,2020,3,19
sj,2020,4,9
sj,2020,5,9
sj,2020,6,9
sj,2020,7,3
sj,2020,8,7
sj,2020,9,7
sj,2020,10,0
sj,2020,11,2
sj,2020,12,3
sj,2020,13,3
sj,2020,14,1
sj,2020,15,3
sj,2020,16,3
sj,2020,17,3
sj,2020,18,7
sj,2020,19,3
sj,2020,20,5
sj,2020,21,11
sj,2020,22,5
sj,2020,23,5
sj,2020,24,6
sj,2020,25,6
sj,2020,26,4
sj,2020,27,4
sj,2020,28,8
sj,2020,29,14
sj,2020,30,12
sj,2020,31,16
sj,2020,32,10
sj,2020,33,16
sj,2020,34,18
sj,2020,35,15
sj,2020,36,23
sj,2020,37,17
sj,2020,38,33
sj,2020,39,15
sj,2020,40,13
sj,2020,41,11
sj,2020,42,14
sj,2020,43,17
sj,2020,44,19
sj,2020,45,20
sj,2020,46,12
sj,2020,47,21
sj,2020,48,7
sj,2020,49,19
sj,2020,50,10
sj,2020,51,13
sj,2021,1,10
sj,2021,2,8
sj,2021,3,21
sj,2021,4,11
sj,2021,5,9
sj,2021,6,14
sj,2021,7,14
sj,2021,8,15
sj,2021,9,18
sj,2021,10,16
sj,2021,11,12
sj,2021,12,20
sj,2021,13,8
sj,2021,14,3
sj,2021,15,13
sj,2021,16,4
sj,2021,17,1
sj,2021,18,10
sj,2021,19,8
sj,2021,20,13
sj,2021,21,10
sj,2021,22,21
sj,2021,23,18
sj,2021,24,21
sj,2021,25,34
sj,2021,26,25
sj,2021,27,34
sj,2021,28,33
sj,2021,29,40
sj,2021,30,42
sj,2021,31,36
sj,2021,32,72
sj,2021,33,75
sj,2021,34,76
sj,2021,35,92
sj,2021,36,71
sj,2021,37,112
sj,2021,38,106
sj,2021,39,101
sj,2021,40,170
sj,2021,41,135
sj,2021,42,106
sj,2021,43,68
sj,2021,44,48
sj,2021,45,48
sj,2021,46,26
sj,2021,47,33
sj,2021,48,29
sj,2021,49,17
sj,2021,50,12
sj,2021,51,13
sj,2021,52,17
sj,2022,1,15
sj,2022,2,14
sj,2022,3,15
sj,2022,4,10
sj,2022,5,9
sj,2022,6,2
sj,2022,7,6
sj,2022,8,8
sj,2022,9,5
sj,2022,10,1
sj,2022,11,2
sj,2022,12,3
sj,2022,13,4
sj,2022,14,3
sj,2022,15,1
sj,2022,16,3
sj,2022,17,5
sj,2022,18,1
sj,2022,19,1
sj,2022,20,0
sj,2022,21,2
sj,2022,22,1
sj,2022,23,1
sj,2022,24,0
sj,2022,25,0
sj,2022,26,1
sj,2022,27,0
sj,2022,28,3
sj,2022,29,3
sj,2022,30,1
sj,2022,31,5
sj,2022,32,2
sj,2022,33,5
sj,2022,34,5
sj,2022,35,5
sj,2022,36,9
sj,2022,37,17
sj,2022,38,19
sj,2022,39,25
sj,2022,40,45
sj,2022,41,34
sj,2022,42,63
sj,2022,43,44
sj,2022,44,50
sj,2022,45,35
sj,2022,46,16
sj,2022,47,16
sj,2022,48,13
sj,2022,49,9
sj,2022,50,15
sj,2022,51,4
sj,2022,52,0
sj,2023,1,1
sj,2023,2,10
sj,2023,3,11
sj,2023,4,29
sj,2023,5,35
sj,2023,6,30
sj,2023,7,20
sj,2023,8,21
sj,2023,9,12
sj,2023,10,9
sj,2023,11,11
sj,2023,12,9
sj,2023,13,5
sj,2023,14,11
sj,2023,15,3
sj,2023,16,5
sj,2023,17,5
sj,2023,18,4
sj,2023,19,4
sj,2023,20,1
sj,2023,21,0
sj,2023,22,2
sj,2023,23,3
sj,2023,24,3
sj,2023,25,5
sj,2023,26,2
sj,2023,27,1
sj,2023,28,2
sj,2023,29,0
sj,2023,30,0
sj,2023,31,3
sj,2023,32,5
sj,2023,33,5
sj,2023,34,7
sj,2023,35,5
sj,2023,36,2
sj,2023,37,2
sj,2023,38,2
sj,2023,39,0
sj,2023,40,2
sj,2023,41,1
sj,2023,42,1
sj,2023,43,2
sj,2023,44,2
sj,2023,45,3
sj,2023,46,9
sj,2023,47,5
sj,2023,48,5
sj,2023,49,4
sj,2023,50,4
sj,2023,51,1
sj,2023,52,0
sj,2023,53,0
sj,2024,1,10
sj,2024,2,9
sj,2024,3,17
sj,2024,4,16
sj,2024,5,11
sj,2024,6,12
sj,2024,7,19
sj,2024,8,15
sj,2024,9,12
sj,2024,10,12
sj,2024,11,16
sj,2024,12,9
sj,2024,13,4
sj,2024,14,9
sj,2024,15,6
sj,2024,16,8
sj,2024,17,4
sj,2024,18,2
sj,2024,19,7
sj,2024,20,6
sj,2024,21,5
sj,2024,22,8
sj,2024,23,1
sj,2024,24,1
sj,2024,25,4
sj,2024,26,2
sj,2024,27,1
sj,2024,28,2
sj,2024,29,0
sj,2024,30,0
sj,2024,31,3
sj,2024,32,5
sj,2024,33,5
sj,2024,34,7
sj,2024,35,5
sj,2024,36,2
sj,2024,37,2
sj,2024,38,2
sj,2024,39,0
sj,2024,40,2
sj,2024,41,1
sj,2024,42,1
sj,2024,43,2
sj,2024,44,2
sj,2024,45,3
sj,2024,46,9
sj,2024,47,5
sj,2024,48,5
sj,2024,49,4
sj,2024,50,4
sj,2024,51,1
sj,2024,52,0
sj,2024,53,0 
iq,2014,26,0
iq,2014,27,0
iq,2014,28,0
iq,2014,29,0
iq,2014,30,0
iq,2014,31,0
iq,2014,32,0
iq,2014,33,0
iq,2014,34,0
iq,2014,35,0
iq,2014,36,1
iq,2014,37,0
iq,2014,38,0
iq,2014,39,0
iq,2014,40,0
iq,2014,41,1
iq,2014,42,1
iq,2014,43,0
iq,2014,44,0
iq,2014,45,0
iq,2014,46,0
iq,2014,47,0
iq,2014,48,0
iq,2014,49,0
iq,2014,50,1
iq,2014,51,0
iq,2015,1,0
iq,2015,2,0
iq,2015,3,0
iq,2015,4,0
iq,2015,5,0
iq,2015,6,0
iq,2015,7,0
iq,2015,8,0
iq,2015,9,0
iq,2015,10,0
iq,2015,11,0
iq,2015,12,0
iq,2015,13,0
iq,2015,14,0
iq,2015,15,0
iq,2015,16,1
iq,2015,17,0
iq,2015,18,0
iq,2015,19,0
iq,2015,20,0
iq,2015,21,1
iq,2015,22,1
iq,2015,23,0
iq,2015,24,0
iq,2015,25,1
iq,2015,26,0
iq,2015,27,0
iq,2015,28,0
iq,2015,29,0
iq,2015,30,0
iq,2015,31,0
iq,2015,32,0
iq,2015,33,0
iq,2015,34,0
iq,2015,35,0
iq,2015,36,0
iq,2015,37,0
iq,2015,38,0
iq,2015,39,0
iq,2015,40,0
iq,2015,41,0
iq,2015,42,0
iq,2015,43,0
iq,2015,44,0
iq,2015,45,0
iq,2015,46,0
iq,2015,47,1
iq,2015,48,1
iq,2015,49,1
iq,2015,50,2
iq,2015,51,4
iq,2015,52,1
iq,2016,1,4
iq,2016,2,11
iq,2016,3,16
iq,2016,4,23
iq,2016,5,12
iq,2016,6,14
iq,2016,7,18
iq,2016,8,8
iq,2016,9,7
iq,2016,10,10
iq,2016,11,7
iq,2016,12,10
iq,2016,13,5
iq,2016,14,11
iq,2016,15,8
iq,2016,16,18
iq,2016,17,13
iq,2016,18,9
iq,2016,19,22
iq,2016,20,10
iq,2016,21,5
iq,2016,22,13
iq,2016,23,2
iq,2016,24,11
iq,2016,25,11
iq,2016,26,3
iq,2016,27,7
iq,2016,28,7
iq,2016,29,4
iq,2016,30,5
iq,2016,31,6
iq,2016,32,7
iq,2016,33,7
iq,2016,34,4
iq,2016,35,9
iq,2016,36,17
iq,2016,37,8
iq,2016,38,22
iq,2016,39,18
iq,2016,40,21
iq,2016,41,16
iq,2016,42,31
iq,2016,43,25
iq,2016,44,28
iq,2016,45,26
iq,2016,46,18
iq,2016,47,27
iq,2016,48,11
iq,2016,49,38
iq,2016,50,29
iq,2016,51,21
iq,2016,52,11
iq,2017,1,10
iq,2017,2,5
iq,2017,3,6
iq,2017,4,2
iq,2017,5,1
iq,2017,6,2
iq,2017,7,2
iq,2017,8,3
iq,2017,9,5
iq,2017,10,1
iq,2017,11,4
iq,2017,12,2
iq,2017,13,4
iq,2017,14,0
iq,2017,15,0
iq,2017,16,0
iq,2017,17,0
iq,2017,18,1
iq,2017,19,1
iq,2017,20,1
iq,2017,21,1
iq,2017,22,1
iq,2017,23,2
iq,2017,24,3
iq,2017,25,4
iq,2017,26,6
iq,2017,27,2
iq,2017,28,2
iq,2017,29,5
iq,2017,30,1
iq,2017,31,1
iq,2017,32,0
iq,2017,33,0
iq,2017,34,0
iq,2017,35,0
iq,2017,36,2
iq,2017,37,0
iq,2017,38,3
iq,2017,39,0
iq,2017,40,0
iq,2017,41,0
iq,2017,42,2
iq,2017,43,2
iq,2017,44,3
iq,2017,45,3
iq,2017,46,3
iq,2017,47,1
iq,2017,48,2
iq,2017,49,3
iq,2017,50,6
iq,2017,51,5
iq,2017,52,1
iq,2018,1,4
iq,2018,2,5
iq,2018,3,8
iq,2018,4,5
iq,2018,5,2
iq,2018,6,3
iq,2018,7,3
iq,2018,8,1
iq,2018,9,6
iq,2018,10,4
iq,2018,11,1
iq,2018,12,2
iq,2018,13,3
iq,2018,14,1
iq,2018,15,8
iq,2018,16,4
iq,2018,17,6
iq,2018,18,7
iq,2018,19,5
iq,2018,20,8
iq,2018,21,6
iq,2018,22,5
iq,2018,23,6
iq,2018,24,6
iq,2018,25,13
iq,2018,26,2
iq,2018,27,10
iq,2018,28,3
iq,2018,29,12
iq,2018,30,7
iq,2018,31,6
iq,2018,32,5
iq,2018,33,6
iq,2018,34,6
iq,2018,35,6
iq,2018,36,8
iq,2018,37,6
iq,2018,38,9
iq,2018,39,12
iq,2018,40,19
iq,2018,41,8
iq,2018,42,16
iq,2018,43,21
iq,2018,44,6
iq,2018,45,22
iq,2018,46,37
iq,2018,47,33
iq,2018,48,18
iq,2018,49,83
iq,2018,50,116
iq,2018,51,32
iq,2018,52,7
iq,2019,53,9
iq,2019,1,10
iq,2019,2,5
iq,2019,3,8
iq,2019,4,7
iq,2019,5,8
iq,2019,6,11
iq,2019,7,6
iq,2019,8,7
iq,2019,9,7
iq,2019,10,14
iq,2019,11,7
iq,2019,12,9
iq,2019,13,13
iq,2019,14,16
iq,2019,15,7
iq,2019,16,9
iq,2019,17,2
iq,2019,18,13
iq,2019,19,8
iq,2019,20,3
iq,2019,21,5
iq,2019,22,4
iq,2019,23,8
iq,2019,24,2
iq,2019,25,3
iq,2019,26,5
iq,2019,27,7
iq,2019,28,3
iq,2019,29,5
iq,2019,30,6
iq,2019,31,5
iq,2019,32,5
iq,2019,33,4
iq,2019,34,0
iq,2019,35,0
iq,2019,36,0
iq,2019,37,0
iq,2019,38,0
iq,2019,39,2
iq,2019,40,4
iq,2019,41,4
iq,2019,42,3
iq,2019,43,3
iq,2019,44,5
iq,2019,45,6
iq,2019,46,14
iq,2019,47,3
iq,2019,48,7
iq,2019,49,11
iq,2019,50,2
iq,2019,51,6
iq,2020,52,8
iq,2020,1,25
iq,2020,2,21
iq,2020,3,10
iq,2020,4,28
iq,2020,5,39
iq,2020,6,20
iq,2020,7,24
iq,2020,8,28
iq,2020,9,26
iq,2020,10,8
iq,2020,11,9
iq,2020,12,12
iq,2020,13,18
iq,2020,14,9
iq,2020,15,9
iq,2020,16,6
iq,2020,17,6
iq,2020,18,8
iq,2020,19,5
iq,2020,20,7
iq,2020,21,6
iq,2020,22,5
iq,2020,23,3
iq,2020,24,1
iq,2020,25,0
iq,2020,26,1
iq,2020,27,2
iq,2020,28,3
iq,2020,29,2
iq,2020,30,2
iq,2020,31,2
iq,2020,32,2
